"","yr","mo","bay_segment","mean_sdm","sum_sdm"
"325",1982,12,"HB",1.15,NA
"326",1982,12,"LTB",2.85,NA
"327",1982,12,"OTB",1.28666666666667,NA
"328",1983,1,"HB",1.45,NA
"329",1983,1,"LTB",4.13333333333333,NA
"330",1983,1,"OTB",1.93333333333333,NA
"331",1983,2,"HB",1.26,NA
"332",1983,2,"LTB",2.64285714285714,NA
"333",1983,2,"OTB",2.05,NA
"334",1983,3,"HB",1.67142857142857,NA
"335",1983,3,"LTB",1.8125,NA
"336",1983,3,"OTB",1.37857142857143,NA
"337",1983,4,"HB",1.06666666666667,NA
"338",1983,4,"LTB",1.75,NA
"339",1983,4,"OTB",1.69230769230769,NA
"340",1983,5,"HB",0.955555555555556,NA
"341",1983,5,"LTB",2.7875,NA
"342",1983,5,"OTB",1.20133333333333,NA
"343",1983,6,"HB",1.17777777777778,NA
"344",1983,6,"LTB",2.25,NA
"345",1983,6,"OTB",1.16,NA
"346",1983,7,"HB",0.833333333333333,NA
"347",1983,7,"LTB",2.6,NA
"348",1983,7,"OTB",1.17857142857143,NA
"349",1983,8,"HB",0.86,NA
"350",1983,8,"LTB",2.69230769230769,NA
"351",1983,8,"OTB",1.07857142857143,NA
"352",1983,9,"HB",0.777777777777778,NA
"353",1983,9,"LTB",1.35,NA
"354",1983,9,"OTB",1.05,NA
"355",1983,10,"HB",0.91,NA
"356",1983,10,"LTB",1.4,NA
"357",1983,10,"OTB",1.00666666666667,NA
"358",1983,11,"HB",0.815,NA
"359",1983,11,"OTB",0.966666666666667,NA
"360",1983,12,"LTB",1.7375,NA
"361",1984,1,"LTB",2.38333333333333,NA
"362",1984,1,"OTB",1.075,NA
"363",1984,2,"HB",1.68,NA
"364",1984,2,"LTB",2.03333333333333,NA
"365",1984,3,"HB",0.955555555555556,NA
"366",1984,3,"LTB",1.525,NA
"367",1984,3,"OTB",1.4,NA
"368",1984,4,"HB",0.877777777777778,NA
"369",1984,4,"LTB",1.3875,NA
"370",1984,4,"OTB",0.978571428571429,NA
"371",1984,5,"HB",0.744444444444444,NA
"372",1984,5,"LTB",1.91428571428571,NA
"373",1984,5,"OTB",0.81,NA
"374",1984,6,"HB",1.11,NA
"375",1984,6,"LTB",2.075,NA
"376",1984,6,"OTB",1.12142857142857,NA
"377",1984,7,"HB",1.29,NA
"378",1984,7,"LTB",2.6125,NA
"379",1984,7,"OTB",1.04666666666667,NA
"380",1984,8,"HB",0.826315789473684,NA
"381",1984,8,"LTB",3.275,NA
"382",1984,8,"OTB",1.24,NA
"383",1984,9,"HB",1.1,NA
"384",1984,9,"LTB",3.3625,NA
"385",1984,9,"OTB",1.21333333333333,NA
"386",1984,10,"HB",1.06,NA
"387",1984,10,"LTB",2.82142857142857,NA
"388",1984,10,"OTB",1.90714285714286,NA
"389",1984,11,"HB",1.53333333333333,NA
"390",1984,11,"OTB",2.03333333333333,NA
"391",1984,12,"LTB",3.63333333333333,NA
"392",1985,1,"HB",1.3,NA
"393",1985,1,"LTB",3.12857142857143,NA
"394",1985,1,"OTB",2.16,NA
"395",1985,2,"HB",1.11111111111111,NA
"396",1985,2,"LTB",2.45714285714286,NA
"397",1985,2,"OTB",1.93846153846154,NA
"398",1985,3,"HB",1.2625,NA
"399",1985,3,"LTB",2.1,NA
"400",1985,3,"OTB",1.75,NA
"401",1985,4,"HB",0.73,NA
"402",1985,4,"LTB",2.6625,NA
"403",1985,4,"OTB",1.42857142857143,NA
"404",1985,5,"HB",0.84,NA
"405",1985,5,"LTB",3.07142857142857,NA
"406",1985,5,"OTB",1.17333333333333,NA
"407",1985,6,"HB",0.66,NA
"408",1985,6,"LTB",3.0875,NA
"409",1985,6,"OTB",1.21428571428571,NA
"410",1985,7,"HB",0.83,NA
"411",1985,7,"LTB",2.84285714285714,NA
"412",1985,7,"OTB",1.18333333333333,NA
"413",1985,8,"HB",0.91,NA
"414",1985,8,"LTB",3.44285714285714,NA
"415",1985,8,"OTB",1.14666666666667,NA
"416",1985,9,"HB",0.58,NA
"417",1985,9,"LTB",2.9125,NA
"418",1985,10,"HB",0.9,NA
"419",1985,10,"LTB",2.9875,NA
"420",1985,10,"OTB",1.58214285714286,NA
"421",1985,11,"HB",1,NA
"422",1985,11,"LTB",2.58571428571429,NA
"423",1985,11,"OTB",2.05,NA
"424",1985,12,"HB",0.9875,NA
"425",1985,12,"LTB",2.14285714285714,NA
"426",1986,1,"HB",2.16,NA
"427",1986,1,"LTB",3.3,NA
"428",1986,1,"OTB",1.95,NA
"429",1986,2,"HB",1.0875,NA
"430",1986,2,"LTB",4.48,NA
"431",1986,2,"OTB",2.96666666666667,NA
"432",1986,3,"HB",1.6,NA
"433",1986,3,"LTB",2.5,NA
"434",1986,3,"OTB",1.90909090909091,NA
"435",1986,4,"HB",1.11,NA
"436",1986,4,"LTB",2.95,NA
"437",1986,4,"OTB",2.108,NA
"438",1986,5,"HB",1.46,NA
"439",1986,5,"LTB",5.15714285714286,NA
"440",1986,5,"OTB",1.38,NA
"441",1986,6,"HB",1.24444444444444,NA
"442",1986,6,"LTB",3.175,NA
"443",1986,6,"OTB",1.4,NA
"444",1986,7,"HB",1.07777777777778,NA
"445",1986,7,"LTB",2.65,NA
"446",1986,7,"OTB",1.19333333333333,NA
"447",1986,8,"HB",0.76,NA
"448",1986,8,"LTB",1.875,NA
"449",1986,9,"HB",0.7,NA
"450",1986,9,"LTB",2.60833333333333,NA
"451",1986,9,"OTB",1.25714285714286,NA
"452",1986,10,"HB",1.1,NA
"453",1986,10,"LTB",1.9,NA
"454",1986,10,"OTB",1.03666666666667,NA
"455",1986,11,"LTB",3.5375,NA
"456",1986,11,"OTB",1.48571428571429,NA
"457",1986,12,"HB",0.844444444444444,NA
"458",1986,12,"LTB",4.05,NA
"459",1987,1,"HB",1.5875,NA
"460",1987,1,"LTB",3.4375,NA
"461",1987,1,"OTB",1.72666666666667,NA
"462",1987,2,"HB",1.675,NA
"463",1987,2,"LTB",3.1,NA
"464",1987,2,"OTB",2.24166666666667,NA
"465",1987,3,"HB",0.855555555555556,NA
"466",1987,3,"LTB",3.175,NA
"467",1987,3,"OTB",1.66153846153846,NA
"468",1987,4,"HB",1.16,NA
"469",1987,4,"LTB",2.2,NA
"470",1987,4,"OTB",1.65833333333333,NA
